Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,UnderLimit
2024-04-01,3700,3790,3400,3500,412700,1474353500,0,0
2024-04-02,3470,3480,3140,3250,454300,1475335000,0,0
2024-04-03,3065,3145,2981,3050,587400,1782784400,0,0
2024-04-04,3080,3125,3000,3020,366300,1112652500,0,0
2024-04-05,2988,3030,2965,3030,202300,605377000,0,0
2024-04-08,3010,3015,2920,2931,328700,974946100,0,0
2024-04-09,2931,3015,2931,2980,236100,700652300,0,0
2024-04-10,3010,3175,2995,3170,236100,731411700,0,0
2024-04-11,3170,3190,3115,3130,128000,403104500,0,0
2024-04-12,3150,3155,3020,3025,149900,459370500,0,0
2024-04-15,3000,3060,3000,3015,150900,456056000,0,0
2024-04-16,3015,3015,2920,2931,209000,618422000,0,0
2024-04-17,2941,2951,2853,2881,237100,688327400,0,0
2024-04-18,2840,2895,2837,2864,117600,337129600,0,0
2024-04-19,2844,2860,2726,2733,270100,747256500,0,0
2024-04-22,2728,2799,2723,2771,127400,351587300,0,0
2024-04-23,2811,2842,2732,2732,119200,330270000,0,0
2024-04-24,2772,2787,2735,2735,134500,370831100,0,0
2024-04-25,2730,2756,2711,2711,171900,469199800,0,0
2024-04-26,2708,2755,2696,2730,144600,393687300,0,0
2024-04-30,2780,2792,2739,2780,100700,279261200,0,0
2024-05-01,2760,2771,2670,2705,229000,619554200,0,0
2024-05-02,2700,2750,2694,2738,105300,287307500,0,0
2024-05-07,2750,2798,2742,2787,89300,248121400,0,0
2024-05-08,2787,2867,2771,2834,152300,431059500,0,0
2024-05-09,2853,2853,2736,2738,136000,375711300,0,0
2024-05-10,2745,2765,2725,2728,100300,274864000,0,0
2024-05-13,2731,2754,2715,2745,70200,192129500,0,0
2024-05-14,2960,2998,2884,2884,289400,849481000,0,0
2024-05-15,2900,2900,2837,2869,138100,395545500,0,0
2024-05-16,2886,2886,2805,2839,135500,383624000,0,0
2024-05-17,2813,2937,2809,2910,182500,529777000,0,0
2024-05-20,2968,3010,2938,3000,254900,762072100,0,0
2024-05-21,3020,3080,3005,3030,199200,606436500,0,0
2024-05-22,3065,3175,3050,3155,385000,1210213000,0,0
2024-05-23,3225,3245,3115,3155,493000,1567285000,0,0
2024-05-24,3125,3210,3085,3140,197300,621711000,0,0
2024-05-27,3175,3235,3150,3190,219300,701026500,0,0
2024-05-28,3220,3295,3215,3235,221800,721815000,0,0
2024-05-29,3280,3300,3205,3205,489200,1590519000,0,0
2024-05-30,3145,3155,3050,3110,674400,2095572500,0,0
2024-05-31,3110,3115,3055,3095,687800,2127050500,0,0
2024-06-03,3080,3095,3040,3055,113700,348106500,0,0
2024-06-04,3040,3115,3040,3065,116200,357406000,0,0
2024-06-05,3050,3075,2998,3070,157400,478859300,0,0
2024-06-06,3085,3090,3010,3020,97300,295324500,0,0
2024-06-07,3030,3070,3010,3010,98200,297658500,0,0
2024-06-10,3035,3035,2941,2949,198900,590482100,0,0
