Code,CurFYEn,DiscDate,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,DivAnn,FDivAnn,FPayoutRatioAnn,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS
3591,2021-03-31,2021-05-11,,,,,,,,,,,,,,,,,,,152000000000,-1100000000,,7000000000,112.17,,,,,
3591,2021-03-31,2021-05-14,2022-03-31,152204000000,-1115000000,,7025000000,112.57,112.09,322761000000,218616000000,0.668,3454.18,4260000000,-2562000000,33605000000,63557000000,40.0,,,,,,,,184000000000,6000000000,,5500000000,88.11
3591,2022-03-31,2021-07-30,,42305000000,1938000000,,472000000,7.56,7.53,301255000000,219248000000,0.718,3462.71,,,,,,50.0,,184000000000,6000000000,,5500000000,88.11,,,,,
3591,2022-03-31,2021-10-29,,87419000000,3976000000,,2983000000,47.77,47.57,303935000000,221461000000,0.719,3497.07,,,,,,50.0,,184000000000,6000000000,,5500000000,88.09,,,,,
3591,2022-03-31,2022-01-31,,130187000000,5057000000,,3493000000,55.96,55.72,298959000000,221802000000,0.732,3517.98,,,,,,50.0,,184000000000,6000000000,,5500000000,88.11,,,,,
3591,2022-03-31,2022-05-13,2023-03-31,172860000000,5013000000,,4608000000,74.04,73.73,303245000000,226052000000,0.735,3628.56,13008000000,-3096000000,-36349000000,37982000000,50.0,,,,,,,,205000000000,6500000000,,5500000000,89.49
3591,2023-03-31,2022-08-10,,49027000000,2469000000,,2404000000,39.17,39.01,305330000000,226172000000,0.731,,2837000000,-1027000000,-4491000000,35739000000,,80.0,,205000000000,6500000000,,5500000000,89.62,,,,,
3591,2023-03-31,2022-11-11,,97506000000,4001000000,,4201000000,68.91,68.62,302426000000,227041000000,0.741,,4854000000,-1117000000,-12512000000,30000000000,,80.0,,200000000000,8000000000,,8000000000,131.22,,,,,
3591,2023-03-31,2023-02-10,,143903000000,-1810000000,,-2431000000,-40.27,-40.27,283266000000,211421000000,0.736,,6235000000,5174000000,-18434000000,30669000000,,80.0,,190000000000,-5500000000,,-4000000000,-66.26,,,,,
3591,2023-03-31,2023-05-11,,,,,,,,,,,,,,,,,,,188000000000,-3500000000,,-1800000000,-30.06,,,,,
3591,2023-03-31,2023-05-12,2024-03-31,188592000000,-3490000000,,-1776000000,-29.66,-29.66,285296000000,213119000000,0.735,3617.03,7334000000,3902000000,-22541000000,26781000000,80.0,,,,,,,,205000000000,6000000000,,4800000000,82.74
3591,2024-03-31,2023-08-09,,48789000000,2727000000,,2844000000,49.03,48.82,296731000000,224369000000,0.744,,970000000,-1756000000,-3124000000,23757000000,,100.0,,205000000000,6000000000,,4800000000,82.74,,,,,
3591,2024-03-31,2023-11-09,,95130000000,-3384000000,,-4404000000,-76.09,-76.09,287948000000,215910000000,0.738,,4092000000,5672000000,-8051000000,30333000000,,100.0,,196000000000,-12000000000,,-10800000000,-186.6,,,,,
3591,2024-03-31,2024-02-09,,141407000000,-1981000000,,-3903000000,-67.98,-67.98,281282000000,209813000000,0.734,,7595000000,11003000000,-16437000000,30177000000,,100.0,,196000000000,-12000000000,,-10800000000,-188.11,,,,,
3591,2024-03-31,2024-05-15,2025-03-31,187208000000,-9503000000,,-8632000000,-151.62,-151.62,294029000000,215142000000,0.72,3846.66,11291000000,14048000000,-20211000000,33547000000,100.0,,,,,,,,183000000000,2000000000,,3200000000,58.11
3591,2025-03-31,2024-08-07,,46462000000,3206000000,,3038000000,55.18,54.95,291050000000,218819000000,0.74,,-1117000000,415000000,-4220000000,28755000000,,100.0,,183000000000,2000000000,,3200000000,58.12,,,,,
3591,2025-03-31,2024-11-11,,90167000000,11551000000,,8773000000,159.69,159.05,288858000000,210133000000,0.716,,5293000000,3867000000,-4196000000,37568000000,,100.0,,181000000000,4800000000,,4500000000,81.91,,,,,
3591,2025-03-31,2025-02-10,,133534000000,11075000000,,9086000000,166.88,166.23,286742000000,207367000000,0.712,,4898000000,5664000000,-15334000000,29347000000,,100.0,,181000000000,4800000000,,4500000000,82.65,,,,,
3591,2025-03-31,2025-05-15,2026-03-31,173896000000,3328000000,,6989000000,129.65,129.16,272183000000,194892000000,0.705,3713.17,4938000000,9382000000,-22925000000,23419000000,100.0,,,,,,,,187500000000,22800000000,,14870000000,287.85
3591,2026-03-31,2025-08-12,,44956000000,19756000000,,13663000000,265.39,264.64,282438000000,204994000000,0.715,,2188000000,19969000000,-9646000000,36729000000,,100.0,,187500000000,22800000000,,14870000000,288.84,,,,,
3591,2026-03-31,2025-11-12,,87511000000,21541000000,,12418000000,243.98,243.31,282643000000,203478000000,0.71,,8328000000,23701000000,-17964000000,38838000000,,100.0,,173800000000,20200000000,,12200000000,239.69,,,,,
3591,2026-03-31,2025-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3591,2026-03-31,2026-02-13,,130344000000,22673000000,,13791000000,273.59,272.86,289026000000,208248000000,0.71,,9526000000,25618000000,-24287000000,36602000000,,100.0,,173800000000,20200000000,,12200000000,242.03,,,,,
